Object,Affordances
strickle,"{1: ('change', 0.75), 2: ('fix', 0.75), 3: ('repair', 0.75)}"
surgical knife,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('crack', 0.75), 5: ('cube', 0.75), 6: ('dice', 0.75), 7: ('fix', 0.75), 8: ('peel', 0.75), 9: ('repair', 0.75), 10: ('separate', 0.75), 11: ('skin', 0.75)}"
switchblade,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('crack', 0.75), 5: ('cube', 0.75), 6: ('dice', 0.75), 7: ('fix', 0.75), 8: ('peel', 0.75), 9: ('repair', 0.75), 10: ('separate', 0.75), 11: ('skin', 0.75)}"
t square,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75)}"
table knife,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('carve', 0.75), 4: ('change', 0.75), 5: ('clean', 0.75), 6: ('crack', 0.75), 7: ('cube', 0.75), 8: ('dice', 0.75), 9: ('fix', 0.75), 10: ('hold', 0.75), 11: ('peel', 0.75), 12: ('pick', 0.75), 13: ('repair', 0.75), 14: ('rub', 0.75), 15: ('separate', 0.75), 16: ('skin', 0.75), 17: ('spread', 0.75), 18: ('contain', 0.75), 19: ('wipe', 0.75)}"
table saw,"{1: ('cut', 0.75), 2: ('bore', 0.75), 3: ('break', 0.75), 4: ('change', 0.75), 5: ('clean', 0.75), 6: ('control', 0.75), 7: ('drill', 0.75), 8: ('fix', 0.75), 9: ('handle', 0.75), 10: ('install', 0.75), 11: ('operate', 0.75), 12: ('plug', 0.75), 13: ('repair', 0.75), 14: ('separate', 0.75), 15: ('wash', 0.75)}"
table top decor,"{1: ('decorate', 1.0)}"
tableknife,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('carve', 0.75), 4: ('change', 0.75), 5: ('clean', 0.75), 6: ('crack', 0.75), 7: ('cube', 0.75), 8: ('dice', 0.75), 9: ('fix', 0.75), 10: ('hold', 0.75), 11: ('peel', 0.75), 12: ('pick', 0.75), 13: ('repair', 0.75), 14: ('rub', 0.75), 15: ('separate', 0.75), 16: ('skin', 0.75), 17: ('spread', 0.75), 18: ('contain', 0.75), 19: ('wipe', 0.75)}"
tabletopdecor,"{1: ('pick', 1.0)}"
tack hammer,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hammer', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75)}"
tamp,"{1: ('change', 0.75), 2: ('compress', 0.75), 3: ('fix', 0.75), 4: ('press', 0.75), 5: ('repair', 0.75), 6: ('tamp', 0.75)}"
tap,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75), 5: ('separate', 0.75)}"
tap wrench,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('wrench', 0.75)}"
taper file,"{1: ('grasp', 0.75), 2: ('beautify', 0.75), 3: ('change', 0.75), 4: ('file', 0.75), 5: ('fix', 0.75), 6: ('hold', 0.75), 7: ('polish', 0.75), 8: ('repair', 0.75)}"
teddy bear,"{1: ('decorate', 1.0)}"
teddybear,"{1: ('pick', 1.0)}"
television,"{1: ('entertain', 1.0), 2: ('operate', 1.0), 3: ('break', 1.0)}"
tennis racket,"{1: ('exercise', 1.0), 2: ('break', 1.0)}"
tennisracket,"{1: ('pick', 1.0)}"
thinning shear,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('change', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('peel', 0.75), 7: ('repair', 0.75), 8: ('separate', 0.75), 9: ('skin', 0.75)}"
tile cutter,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75), 5: ('separate', 0.75), 6: ('skin', 0.75)}"
tire iron,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75)}"
tissue box,"{1: ('clean', 1.0)}"
tissuebox,"{1: ('pick', 1.0)}"
to go cup,"{1: ('support', 0.75), 2: ('contain', 0.68)}"
toaster,"{1: ('heat', 2.0), 2: ('contain', 1.0), 3: ('operate', 1.0)}"
toilet,"{1: ('wash', 1.0), 2: ('dispose', 1.0), 3: ('contain', 1.0)}"
toilet paper,"{1: ('clean', 1.0)}"
toiletpaper,"{1: ('pick', 1.0)}"
toiletpaperhanger,"{1: ('contain', 1.0)}"
tomato,"{1: ('eat', 1.0), 2: ('cut', 1.0), 3: ('pick', 1.0)}"
toothbrush,"{1: ('grasp', 1.0)}"
toothpaste,"{1: ('grasp', 1.0)}"
toothpick,"{1: ('clean', 1.25), 2: ('hold', 1.25), 3: ('pick', 1.25), 4: ('grasp', 0.75), 5: ('change', 0.75), 6: ('fix', 0.75), 7: ('pierce', 0.75), 8: ('repair', 0.75), 9: ('stick', 0.75)}"
torque wrench,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('wrench', 0.75)}"
towel,"{1: ('clean', 1.5), 2: ('pick', 1.0)}"
towelholder,"{1: ('contain', 1.0)}"
trap and drain auger,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('unclog', 0.75)}"
tray,"{1: ('support', 0.75), 2: ('contain', 0.75)}"
trench knife,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('cube', 0.75), 5: ('dice', 0.75), 6: ('fix', 0.75), 7: ('repair', 0.75), 8: ('separate', 0.75), 9: ('skin', 0.75)}"
trepan,"{1: ('cut', 0.75), 2: ('bore', 0.75), 3: ('change', 0.75), 4: ('drill', 0.75), 5: ('fix', 0.75), 6: ('repair', 0.75), 7: ('separate', 0.75)}"
triphammer,"{1: ('break', 0.75), 2: ('change', 0.75), 3: ('clean', 0.75), 4: ('control', 0.75), 5: ('fix', 0.75), 6: ('hammer', 0.75), 7: ('handle', 0.75), 8: ('install', 0.75), 9: ('operate', 0.75), 10: ('plug', 0.75), 11: ('repair', 0.75), 12: ('wash', 0.75)}"
trowel,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('scoop', 0.75), 7: ('spread', 0.75)}"
try square,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75)}"
tvstand,"{1: ('contain', 1.0)}"
twist bit,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75), 5: ('separate', 0.75)}"
two handed saw,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('bore', 0.75), 4: ('break', 0.75), 5: ('change', 0.75), 6: ('clean', 0.75), 7: ('control', 0.75), 8: ('drill', 0.75), 9: ('fix', 0.75), 10: ('handle', 0.75), 11: ('hold', 0.75), 12: ('install', 0.75), 13: ('operate', 0.75), 14: ('plug', 0.75), 15: ('repair', 0.75), 16: ('saw', 0.75), 17: ('separate', 0.75), 18: ('wash', 0.75)}"
undercoat,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('mark', 0.75), 6: ('repair', 0.75)}"
upset,"{1: ('change', 0.75), 2: ('fix', 0.75), 3: ('repair', 0.75)}"
vaccum cleaner,"{1: ('clean', 1.0)}"
vacuumcleaner,{}
vase,"{1: ('carry', 1.0), 2: ('break', 1.0), 3: ('pick', 1.0)}"
watch,"{1: ('time', 1.5), 2: ('pick', 1.0)}"
water bottle,"{1: ('wrap', 1.0)}"
watering can,"{1: ('carry', 1.0)}"
wateringcan,"{1: ('contain', 1.0), 2: ('pick', 1.0)}"
weeder,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75)}"
window,"{1: ('illuminate', 1.0), 2: ('break', 1.0)}"
wine bottle,"{1: ('carry', 1.0)}"
winebottle,"{1: ('break', 1.0), 2: ('contain', 1.0), 3: ('pick', 1.0)}"
wire cutter,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hammer', 0.75), 5: ('repair', 0.75), 6: ('separate', 0.75), 7: ('skin', 0.75)}"
wire stripper,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('strip', 0.75)}"
wood chisel,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hammer', 0.75), 5: ('repair', 0.75), 6: ('separate', 0.75), 7: ('skin', 0.75)}"
wrench,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('wrench', 0.75)}"
yataghan,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('cube', 0.75), 5: ('dice', 0.75), 6: ('fix', 0.75), 7: ('repair', 0.75), 8: ('separate', 0.75), 9: ('skin', 0.75)}"
